"Analysis","Spec","Window","WindowLabel","Condition","ClassLabel","NClass","Variable","VariableLabel","Role","VariableOrder","NNonMissing","NEvent","Prevalence","MeanTopPosterior"
"Univariate Lived Without Mother","ULWOM","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Mid-Childhood Onset Maternal Absence",249,"DPBN","Depression","Outcome",1,247,18,0.0728744939271255,0.881333333333333
"Univariate Lived Without Mother","ULWOM","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Mid-Childhood Onset Maternal Absence",249,"ESXC","Ever had sexual intercourse","Mediator",3,238,99,0.415966386554622,0.881333333333333
"Univariate Lived Without Mother","ULWOM","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Mid-Childhood Onset Maternal Absence",249,"FDSC","Food insecurity","Mediator",4,249,74,0.29718875502008,0.881333333333333
"Univariate Lived Without Mother","ULWOM","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Mid-Childhood Onset Maternal Absence",249,"GOVG","No government grant receipt","Mediator",5,249,142,0.570281124497992,0.881333333333333
"Univariate Lived Without Mother","ULWOM","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Mid-Childhood Onset Maternal Absence",249,"SCHL","School disengagement","Mediator",8,249,72,0.289156626506024,0.881333333333333
"Univariate Lived Without Mother","ULWOM","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Mid-Childhood Onset Maternal Absence",249,"SCSP","Low social support","Mediator",7,249,23,0.0923694779116466,0.881333333333333
"Univariate Lived Without Mother","ULWOM","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Mid-Childhood Onset Maternal Absence",249,"VLNC","Violence exposure","Mediator",6,249,78,0.313253012048193,0.881333333333333
"Univariate Lived Without Mother","ULWOM","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Stable High Maternal Absence",864,"DNKA","Alcohol use","Mediator",2,864,307,0.355324074074074,0.968728009259259
"Univariate Lived Without Mother","ULWOM","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Stable High Maternal Absence",864,"DPBN","Depression","Outcome",1,833,49,0.0588235294117647,0.968728009259259
"Univariate Lived Without Mother","ULWOM","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Stable High Maternal Absence",864,"ESXC","Ever had sexual intercourse","Mediator",3,829,385,0.464414957780458,0.968728009259259
"Univariate Lived Without Mother","ULWOM","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Stable High Maternal Absence",864,"FDSC","Food insecurity","Mediator",4,864,240,0.277777777777778,0.968728009259259
"Univariate Lived Without Mother","ULWOM","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Stable High Maternal Absence",864,"GOVG","No government grant receipt","Mediator",5,864,496,0.574074074074074,0.968728009259259
"Univariate Lived Without Mother","ULWOM","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Stable High Maternal Absence",864,"SCHL","School disengagement","Mediator",8,864,262,0.303240740740741,0.968728009259259
"Univariate Lived Without Mother","ULWOM","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Stable High Maternal Absence",864,"SCSP","Low social support","Mediator",7,862,88,0.102088167053364,0.968728009259259
"Univariate Lived Without Mother","ULWOM","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Stable High Maternal Absence",864,"VLNC","Violence exposure","Mediator",6,864,254,0.293981481481481,0.968728009259259
"Univariate Lived Without Mother","ULWOM","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Stable Low Maternal Absence",2630,"DNKA","Alcohol use","Mediator",2,2630,893,0.339543726235741,0.977419771863118
"Univariate Lived Without Mother","ULWOM","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Stable Low Maternal Absence",2630,"DPBN","Depression","Outcome",1,2573,144,0.0559657986785853,0.977419771863118
"Univariate Lived Without Mother","ULWOM","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Stable Low Maternal Absence",2630,"ESXC","Ever had sexual intercourse","Mediator",3,2551,1183,0.463739709917679,0.977419771863118
"Univariate Lived Without Mother","ULWOM","time_6_12","Middle-late childhood (6-12 years)","Restricted (at least 3 waves)","Stable Low Maternal Absence",2630,"FDSC","Food insecurity","Mediator",4,2630,774,0.294296577946768,0.977419771863118
