"Analysis","Spec","Window","WindowLabel","Comparison","ComparatorCondition","UnrestrictedClass","ComparatorClass","n","RowTotal","RowPct","StayedSameLabel"
"Joint Maternal Absence + Household Socioeconomic Status","JMAES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted vs Restricted (at least 2 complete occasions)","Restricted (at least 2 complete occasions)","Class 8","Rising Maternal Absence, Improving SES",26,303,0.0858085808580858,FALSE
"Joint Maternal Absence + Household Socioeconomic Status","JMAES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted vs Stricter restricted (at least 3 complete occasions)","Stricter restricted (at least 3 complete occasions)","Class 1","Class 5",263,263,1,FALSE
"Joint Maternal Absence + Household Socioeconomic Status","JMAES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted vs Stricter restricted (at least 3 complete occasions)","Stricter restricted (at least 3 complete occasions)","Class 2","Class 2",1,302,0.0033112582781457,TRUE
"Joint Maternal Absence + Household Socioeconomic Status","JMAES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted vs Stricter restricted (at least 3 complete occasions)","Stricter restricted (at least 3 complete occasions)","Class 2","Class 8",301,302,0.996688741721854,FALSE
"Joint Maternal Absence + Household Socioeconomic Status","JMAES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted vs Stricter restricted (at least 3 complete occasions)","Stricter restricted (at least 3 complete occasions)","Class 3","Class 2",181,184,0.983695652173913,FALSE
"Joint Maternal Absence + Household Socioeconomic Status","JMAES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted vs Stricter restricted (at least 3 complete occasions)","Stricter restricted (at least 3 complete occasions)","Class 3","Class 8",3,184,0.016304347826087,FALSE
"Joint Maternal Absence + Household Socioeconomic Status","JMAES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted vs Stricter restricted (at least 3 complete occasions)","Stricter restricted (at least 3 complete occasions)","Class 4","Class 1",2,824,0.00242718446601942,FALSE
"Joint Maternal Absence + Household Socioeconomic Status","JMAES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted vs Stricter restricted (at least 3 complete occasions)","Stricter restricted (at least 3 complete occasions)","Class 4","Class 2",1,824,0.00121359223300971,FALSE
"Joint Maternal Absence + Household Socioeconomic Status","JMAES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted vs Stricter restricted (at least 3 complete occasions)","Stricter restricted (at least 3 complete occasions)","Class 4","Class 6",821,824,0.996359223300971,FALSE
"Joint Maternal Absence + Household Socioeconomic Status","JMAES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted vs Stricter restricted (at least 3 complete occasions)","Stricter restricted (at least 3 complete occasions)","Class 5","Class 4",236,239,0.98744769874477,FALSE
"Joint Maternal Absence + Household Socioeconomic Status","JMAES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted vs Stricter restricted (at least 3 complete occasions)","Stricter restricted (at least 3 complete occasions)","Class 5","Class 5",1,239,0.00418410041841004,TRUE
"Joint Maternal Absence + Household Socioeconomic Status","JMAES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted vs Stricter restricted (at least 3 complete occasions)","Stricter restricted (at least 3 complete occasions)","Class 5","Class 7",1,239,0.00418410041841004,FALSE
"Joint Maternal Absence + Household Socioeconomic Status","JMAES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted vs Stricter restricted (at least 3 complete occasions)","Stricter restricted (at least 3 complete occasions)","Class 5","Class 8",1,239,0.00418410041841004,FALSE
"Joint Maternal Absence + Household Socioeconomic Status","JMAES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted vs Stricter restricted (at least 3 complete occasions)","Stricter restricted (at least 3 complete occasions)","Class 6","Class 1",1,572,0.00174825174825175,FALSE
"Joint Maternal Absence + Household Socioeconomic Status","JMAES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted vs Stricter restricted (at least 3 complete occasions)","Stricter restricted (at least 3 complete occasions)","Class 6","Class 3",571,572,0.998251748251748,FALSE
"Joint Maternal Absence + Household Socioeconomic Status","JMAES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted vs Stricter restricted (at least 3 complete occasions)","Stricter restricted (at least 3 complete occasions)","Class 7","Class 1",803,806,0.996277915632754,FALSE
"Joint Maternal Absence + Household Socioeconomic Status","JMAES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted vs Stricter restricted (at least 3 complete occasions)","Stricter restricted (at least 3 complete occasions)","Class 7","Class 2",1,806,0.00124069478908189,FALSE
"Joint Maternal Absence + Household Socioeconomic Status","JMAES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted vs Stricter restricted (at least 3 complete occasions)","Stricter restricted (at least 3 complete occasions)","Class 7","Class 6",2,806,0.00248138957816377,FALSE
"Joint Maternal Absence + Household Socioeconomic Status","JMAES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted vs Stricter restricted (at least 3 complete occasions)","Stricter restricted (at least 3 complete occasions)","Class 8","Class 5",1,288,0.00347222222222222,FALSE
"Joint Maternal Absence + Household Socioeconomic Status","JMAES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted vs Stricter restricted (at least 3 complete occasions)","Stricter restricted (at least 3 complete occasions)","Class 8","Class 7",287,288,0.996527777777778,FALSE
