"Analysis","Spec","Window","WindowLabel","Condition","ClassLabel","NClass","VariableOrder","Depression","Alcohol use","Ever had sexual intercourse","Food insecurity","No government grant receipt","Violence exposure","Low social support","School disengagement"
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Chronic Low SES",1577,1,0.0647530040053405,,,,,,,
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Chronic Low SES",1577,2,,0.336715282181357,,,,,,
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Chronic Low SES",1577,3,,,0.575919732441472,,,,,
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Chronic Low SES",1577,4,,,,0.360177552314521,,,,
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Chronic Low SES",1577,5,,,,,0.623969562460368,,,
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Chronic Low SES",1577,6,,,,,,0.326569435637286,,
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Chronic Low SES",1577,7,,,,,,,0.0991105463786531,
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Chronic Low SES",1577,8,,,,,,,,0.390615091946734
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Early Improvement from Mild Low SES",409,1,0.0640394088669951,,,,,,,
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Early Improvement from Mild Low SES",409,2,,0.359413202933985,,,,,,
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Early Improvement from Mild Low SES",409,3,,,0.37468982630273,,,,,
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Early Improvement from Mild Low SES",409,4,,,,0.202933985330073,,,,
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Early Improvement from Mild Low SES",409,5,,,,,0.572127139364303,,,
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Early Improvement from Mild Low SES",409,6,,,,,,0.298288508557457,,
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Early Improvement from Mild Low SES",409,7,,,,,,,0.0831295843520782,
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Early Improvement from Mild Low SES",409,8,,,,,,,,0.205378973105134
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Improving from High Low SES",417,1,0.0702179176755448,,,,,,,
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Improving from High Low SES",417,2,,0.369304556354916,,,,,,
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Improving from High Low SES",417,3,,,0.482843137254902,,,,,
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Improving from High Low SES",417,4,,,,0.247002398081535,,,,
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Improving from High Low SES",417,5,,,,,0.633093525179856,,,
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Improving from High Low SES",417,6,,,,,,0.294964028776978,,
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Improving from High Low SES",417,7,,,,,,,0.0887290167865707,
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Improving from High Low SES",417,8,,,,,,,,0.304556354916067
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Late Improvement from Chronic Low SES",448,1,0.0563063063063063,,,,,,,
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Late Improvement from Chronic Low SES",448,2,,0.363839285714286,,,,,,
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Late Improvement from Chronic Low SES",448,3,,,0.468965517241379,,,,,
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Late Improvement from Chronic Low SES",448,4,,,,0.294642857142857,,,,
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Late Improvement from Chronic Low SES",448,5,,,,,0.591517857142857,,,
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Late Improvement from Chronic Low SES",448,6,,,,,,0.332589285714286,,
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Late Improvement from Chronic Low SES",448,7,,,,,,,0.104910714285714,
"Univariate Household Socioeconomic Status","UHSES","time_6_12","Middle-late childhood (6-12 years)","Unrestricted","Late Improvement from Chronic Low SES",448,8,,,,,,,,0.325892857142857
