"Analysis","Spec","Window","WindowLabel","Condition","ClassLabel","Variable","VariableLabel","Role","VariableOrder","NNonMissing","NEvent","Prevalence"
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Unrestricted","Stable High — Mother: Stable High (0–5y); Father: Stable High (0–5y)","DPBN","Depression","Outcome",1,297,12,0.0404040404040404
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Unrestricted","Stable High — Mother: Stable High (0–5y); Father: Stable High (0–5y)","ESXC","Ever had sexual intercourse","Mediator",3,295,140,0.474576271186441
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Unrestricted","Stable High — Mother: Stable High (0–5y); Father: Stable High (0–5y)","FDSC","Food insecurity","Mediator",4,306,77,0.251633986928105
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Unrestricted","Stable High — Mother: Stable High (0–5y); Father: Stable High (0–5y)","GOVG","No government grant receipt","Mediator",5,306,189,0.61764705882353
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Unrestricted","Stable High — Mother: Stable High (0–5y); Father: Stable High (0–5y)","SCHL","School disengagement","Mediator",8,306,89,0.290849673202614
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Unrestricted","Stable High — Mother: Stable High (0–5y); Father: Stable High (0–5y)","SCSP","Low social support","Mediator",7,306,27,0.0882352941176471
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Unrestricted","Stable High — Mother: Stable High (0–5y); Father: Stable High (0–5y)","VLNC","Violence exposure","Mediator",6,306,99,0.323529411764706
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Unrestricted","Stable Low — Mother: Stable Low (0–5y); Father: Stable Low (0–5y)","DNKA","Alcohol use","Mediator",2,798,273,0.342105263157895
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Unrestricted","Stable Low — Mother: Stable Low (0–5y); Father: Stable Low (0–5y)","DPBN","Depression","Outcome",1,791,45,0.0568900126422252
"Joint Parental Residence Patterns","JPA","time_0_5","Early childhood (0-5 years)","Unrestricted","Stable Low — Mother: Stable Low (0–5y); Father: Stable Low (0–5y)","ESXC","Ever had sexual intercourse","Mediator",3,777,368,0.473616473616473
