"model","pv_draw_id","mediator","estimate","std.error"
"ULWOM",60,"GOVG",0.102541762699499,0.160524955716076
"ULWOM",60,"VLNC",0.617818847341496,0.148522629857227
"ULWOM",60,"SCSP",0.0480671604597285,0.243032860702422
"ULWOM",60,"SCHL",0.177614264578968,0.186512293713459
"ULWOM",61,"DNKA",0.308594038320637,0.154978272063882
"ULWOM",61,"ESXC",0.454913384324219,0.190122086551667
"ULWOM",61,"FDSC",0.7292294629107,0.14436279570762
"ULWOM",61,"GOVG",0.106837309570553,0.16044553336826
"ULWOM",61,"VLNC",0.609520710853041,0.148634198022184
"ULWOM",61,"SCSP",0.0397575296880973,0.243630399300631
"ULWOM",61,"SCHL",0.197977474912598,0.186929376179764
"ULWOM",62,"DNKA",0.31114262453947,0.154891198643059
"ULWOM",62,"ESXC",0.432313048642822,0.189962420400503
"ULWOM",62,"FDSC",0.719571379843272,0.144346421962342
"ULWOM",62,"GOVG",0.110712835141902,0.160397024827396
"ULWOM",62,"VLNC",0.620887184045029,0.148723573175573
"ULWOM",62,"SCSP",0.046295370674357,0.243331317545337
"ULWOM",62,"SCHL",0.187795117700974,0.186269450100887
"ULWOM",63,"DNKA",0.308531094111092,0.155416594699776
"ULWOM",63,"ESXC",0.424860638020422,0.190582212470532
"ULWOM",63,"FDSC",0.7196560584413,0.144371672162528
"ULWOM",63,"GOVG",0.0953798813920552,0.161041663687045
"ULWOM",63,"VLNC",0.617518205059585,0.148692923240781
"ULWOM",63,"SCSP",0.0388573769477946,0.243219382770706
"ULWOM",63,"SCHL",0.171543582309994,0.186834084923233
"ULWOM",64,"DNKA",0.305330316558953,0.154859966847871
