"model","pv_draw_id","mediator","estimate","std.error"
"ULWOM",21,"FDSC",0.726063591564759,0.144328434522745
"ULWOM",21,"GOVG",0.101722085532758,0.160524428373729
"ULWOM",21,"VLNC",0.622420104575648,0.148578018473544
"ULWOM",21,"SCSP",0.0330151216631641,0.243596398881767
"ULWOM",21,"SCHL",0.187917663514502,0.186584837555999
"ULWOM",22,"DNKA",0.310562844104334,0.154895062893917
"ULWOM",22,"ESXC",0.438166871233738,0.189663317120196
"ULWOM",22,"FDSC",0.724718964920483,0.144241962793779
"ULWOM",22,"GOVG",0.107078146112899,0.160558698114714
"ULWOM",22,"VLNC",0.624537657471261,0.148656885078915
"ULWOM",22,"SCSP",0.0475944973184033,0.243496347998511
"ULWOM",22,"SCHL",0.188710769934515,0.186211707127494
"ULWOM",23,"DNKA",0.301056664484638,0.155088043884028
"ULWOM",23,"ESXC",0.429404418406295,0.190067161090612
"ULWOM",23,"FDSC",0.719870907435768,0.14409334340123
"ULWOM",23,"GOVG",0.102029180903344,0.16043337424916
"ULWOM",23,"VLNC",0.618440084692913,0.148484093813687
"ULWOM",23,"SCSP",0.0348601781804724,0.24312547464859
"ULWOM",23,"SCHL",0.1904690373926,0.186360818442952
"ULWOM",24,"DNKA",0.306317133900657,0.154750146054165
"ULWOM",24,"ESXC",0.446112766421438,0.190097125054222
"ULWOM",24,"FDSC",0.727418623370046,0.144384611584183
"ULWOM",24,"GOVG",0.105113830086929,0.1604615785913
"ULWOM",24,"VLNC",0.621454283928053,0.148545281237068
"ULWOM",24,"SCSP",0.039146429770962,0.243776389322882
"ULWOM",24,"SCHL",0.194210113459376,0.186519493828057
"ULWOM",25,"DNKA",0.297252510108299,0.155066409875852
"ULWOM",25,"ESXC",0.423388326536175,0.190490363899574
"ULWOM",25,"FDSC",0.7237713434625,0.144311924016097
"ULWOM",25,"GOVG",0.09674059017382,0.160495958378182
"ULWOM",25,"VLNC",0.617567186729042,0.148435251125269
"ULWOM",25,"SCSP",0.0285071928250301,0.243036880861183
"ULWOM",25,"SCHL",0.173516278997166,0.186546967425013
"ULWOM",26,"DNKA",0.305297322701527,0.155176004742389
"ULWOM",26,"ESXC",0.424264017403514,0.191078063749979
"ULWOM",26,"FDSC",0.717026502778685,0.144354010679869
"ULWOM",26,"GOVG",0.0939001991704272,0.160748113824467
"ULWOM",26,"VLNC",0.616256453890483,0.148864722169595
"ULWOM",26,"SCSP",0.0260223373638784,0.243130679281242
"ULWOM",26,"SCHL",0.190737039985677,0.186498542398845
"ULWOM",27,"DNKA",0.309913301580604,0.154669535876894
"ULWOM",27,"ESXC",0.436322828936114,0.190335680482391
"ULWOM",27,"FDSC",0.730268668900565,0.144361510685468
"ULWOM",27,"GOVG",0.105305390033859,0.160323104813104
"ULWOM",27,"VLNC",0.618505007343197,0.148470754896631
"ULWOM",27,"SCSP",0.0421624584577106,0.243405858060464
"ULWOM",27,"SCHL",0.198963476677687,0.186428634342978
"ULWOM",28,"DNKA",0.311414677720871,0.155001584778635
"ULWOM",28,"ESXC",0.431441894335753,0.190349007749999
"ULWOM",28,"FDSC",0.718839676935299,0.144201948835496
"ULWOM",28,"GOVG",0.107955957667401,0.160302443225179
"ULWOM",28,"VLNC",0.612510347771851,0.148606393436779
