model_code,response,response_label,path,hypothesis_id,hypothesis,role,window,reference_label,comparator_label,expected_direction,contrast_label,hypothesis_supported,effect_group,effect_type,term,estimate,std.error,statistic,p.value,conf.low,conf.high,odds_ratio,or_conf.low,or_conf.high,class,class_window,class_label,benchmark_class,benchmark_label,term_label,n_subjects,n_pseudo_rows,total_weight
ULWOM,VLNC,Violence exposure,A,H1,Hypothesis 1. Stable low maternal absence will be associated with the lowest depression risk.,primary,Early childhood,Stable Low Maternal Absence,"Early Peak, Declining Maternal Absence",higher,"H1: Early Peak, Declining Maternal Absence vs Stable Low Maternal Absence",FALSE,Two-window class history,early_class,early_class4,0.02018255000284444,0.10794198603773933,0.18697590014499174,0.8516795286044923,-0.19138374263112465,0.23174884263681353,1.0203875947841656,0.8258156266778633,1.2608030290949743,4,Early Childhood (0–5 Years),"Early Peak, Declining Maternal Absence",2,Stable Low Maternal Absence,"Early: Early Peak, Declining Maternal Absence vs Stable Low Maternal Absence",3267,15645,3266.694001
ULWOM,VLNC,Violence exposure,A,H1,Hypothesis 1. Stable low maternal absence will be associated with the lowest depression risk.,primary,Middle-late childhood,Stable Low Maternal Absence,Late-Onset Maternal Absence,higher,H1: Late-Onset Maternal Absence vs Stable Low Maternal Absence,FALSE,Two-window class history,mid_class,mid_class1,-0.0728863731210991,0.15083474696206584,-0.48322004438028887,0.6289395045069464,-0.36852247716674813,0.22274973092454997,0.9297064636680291,0.6917556607160348,1.2495078214342636,1,Middle–Late Childhood (6–12 Years),Late-Onset Maternal Absence,5,Stable Low Maternal Absence,Middle-late: Late-Onset Maternal Absence vs Stable Low Maternal Absence,3267,15645,3266.694001
ULWOM,VLNC,Violence exposure,A,H1,Hypothesis 1. Stable low maternal absence will be associated with the lowest depression risk.,primary,Middle-late childhood,Stable Low Maternal Absence,Mid-Childhood Onset Maternal Absence,higher,H1: Mid-Childhood Onset Maternal Absence vs Stable Low Maternal Absence,FALSE,Two-window class history,mid_class,mid_class2,-0.1029148327728929,0.1511254286929147,-0.6809895175352307,0.4958781232880824,-0.39912067301100573,0.1932910074652199,0.9022038084062087,0.6709097357704353,1.2132358028281514,2,Middle–Late Childhood (6–12 Years),Mid-Childhood Onset Maternal Absence,5,Stable Low Maternal Absence,Middle-late: Mid-Childhood Onset Maternal Absence vs Stable Low Maternal Absence,3267,15645,3266.694001
ULWOM,VLNC,Violence exposure,A,H1,Hypothesis 1. Stable low maternal absence will be associated with the lowest depression risk.,primary,Middle-late childhood,Stable Low Maternal Absence,Declining Maternal Absence,higher,H1: Declining Maternal Absence vs Stable Low Maternal Absence,FALSE,Two-window class history,mid_class,mid_class3,0.06883995912162619,0.12823134521339707,0.5368419009179518,0.5913768257898133,-0.18249347749663206,0.32017339573988446,1.0712647492769727,0.8331900783956998,1.3773665731271847,3,Middle–Late Childhood (6–12 Years),Declining Maternal Absence,5,Stable Low Maternal Absence,Middle-late: Declining Maternal Absence vs Stable Low Maternal Absence,3267,15645,3266.694001
ULWOM,VLNC,Violence exposure,A,H1,Hypothesis 1. Stable low maternal absence will be associated with the lowest depression risk.,primary,Middle-late childhood,Stable Low Maternal Absence,Stable High Maternal Absence,higher,H1: Stable High Maternal Absence vs Stable Low Maternal Absence,FALSE,Two-window class history,mid_class,mid_class4,-0.13338851721628722,0.11290411963228093,-1.181431799395117,0.23743123170732303,-0.3546805916955579,0.0879035572629834,0.8751250249134861,0.701397439600437,1.091882812783157,4,Middle–Late Childhood (6–12 Years),Stable High Maternal Absence,5,Stable Low Maternal Absence,Middle-late: Stable High Maternal Absence vs Stable Low Maternal Absence,3267,15645,3266.694001
ULWOM,SCSP,Low social support,A,H1,Hypothesis 1. Stable low maternal absence will be associated with the lowest depression risk.,primary,Early childhood,Stable Low Maternal Absence,Late-Onset Maternal Absence,higher,H1: Late-Onset Maternal Absence vs Stable Low Maternal Absence,FALSE,Two-window class history,early_class,early_class1,0.03267636162671318,0.1991253405015906,0.16409946390751892,0.8696528438324064,-0.35760930575640437,0.4229620290098307,1.0332160967482071,0.6993462521936858,1.5264763330481732,1,Early Childhood (0–5 Years),Late-Onset Maternal Absence,2,Stable Low Maternal Absence,Early: Late-Onset Maternal Absence vs Stable Low Maternal Absence,3266,15642,3265.694000999999
ULWOM,SCSP,Low social support,A,H1,Hypothesis 1. Stable low maternal absence will be associated with the lowest depression risk.,primary,Early childhood,Stable Low Maternal Absence,Stable High Maternal Absence,higher,H1: Stable High Maternal Absence vs Stable Low Maternal Absence,FALSE,Two-window class history,early_class,early_class3,-0.3251905410622835,0.21274797272794024,-1.5285247464056149,0.12638230421734398,-0.7421765676090464,0.09179548548447936,0.7223896956277489,0.47607657415802024,1.0961406224872123,3,Early Childhood (0–5 Years),Stable High Maternal Absence,2,Stable Low Maternal Absence,Early: Stable High Maternal Absence vs Stable Low Maternal Absence,3266,15642,3265.694000999999
ULWOM,SCSP,Low social support,A,H1,Hypothesis 1. Stable low maternal absence will be associated with the lowest depression risk.,primary,Early childhood,Stable Low Maternal Absence,"Early Peak, Declining Maternal Absence",higher,"H1: Early Peak, Declining Maternal Absence vs Stable Low Maternal Absence",FALSE,Two-window class history,early_class,early_class4,-0.014515459430512195,0.16990510391593897,-0.08543274507924,0.9319173615072575,-0.34752946310575256,0.3184985442447282,0.9855893819640428,0.7064311999657914,1.3750616194291854,4,Early Childhood (0–5 Years),"Early Peak, Declining Maternal Absence",2,Stable Low Maternal Absence,"Early: Early Peak, Declining Maternal Absence vs Stable Low Maternal Absence",3266,15642,3265.694000999999
ULWOM,SCSP,Low social support,A,H1,Hypothesis 1. Stable low maternal absence will be associated with the lowest depression risk.,primary,Middle-late childhood,Stable Low Maternal Absence,Late-Onset Maternal Absence,higher,H1: Late-Onset Maternal Absence vs Stable Low Maternal Absence,FALSE,Two-window class history,mid_class,mid_class1,-0.297253192931447,0.23413042463636444,-1.2696051501769603,0.20422531395531582,-0.7561488252187213,0.16164243935582734,0.742855902685281,0.4694709647243895,1.175439875133337,1,Middle–Late Childhood (6–12 Years),Late-Onset Maternal Absence,5,Stable Low Maternal Absence,Middle-late: Late-Onset Maternal Absence vs Stable Low Maternal Absence,3266,15642,3265.694000999999
ULWOM,SCSP,Low social support,A,H1,Hypothesis 1. Stable low maternal absence will be associated with the lowest depression risk.,primary,Middle-late childhood,Stable Low Maternal Absence,Mid-Childhood Onset Maternal Absence,higher,H1: Mid-Childhood Onset Maternal Absence vs Stable Low Maternal Absence,FALSE,Two-window class history,mid_class,mid_class2,-0.3068440251964687,0.2577025525981804,-1.190690670708689,0.23377504168980554,-0.8119410282889024,0.19825297789596497,0.7357653528141679,0.443995421611494,1.219270803372047,2,Middle–Late Childhood (6–12 Years),Mid-Childhood Onset Maternal Absence,5,Stable Low Maternal Absence,Middle-late: Mid-Childhood Onset Maternal Absence vs Stable Low Maternal Absence,3266,15642,3265.694000999999
