model_code,model_label,pathway_label,adjustment_code,adjustment_label,estimate,odds_ratio,p.value,abs_log_or,previous_abs_log_or,attenuation_step,attenuation_label,significant
JPAES,Joint parental absence and socioeconomic status,Low social support,sex_age_rural_clyr,Sex + age + rural + calendar year,0.13094116339842748,1.1399007114549364,0.5670261473045816,0.13094116339842748,0.05197623382039197,-0.07896492957803551,152% increase in |log(OR)|,FALSE
JPAES,Joint parental absence and socioeconomic status,School disengagement,sex_only,Sex only,0.14421567989753203,1.1551332206743774,0.37715494936211597,0.14421567989753203,-,-,Starting model,FALSE
JPAES,Joint parental absence and socioeconomic status,School disengagement,sex_age,Sex + age,-0.10591197250651797,0.899503825658121,0.5462436162758959,0.10591197250651797,0.14421567989753203,0.03830370739101406,27% reduction in |log(OR)|,FALSE
JPAES,Joint parental absence and socioeconomic status,School disengagement,sex_age_rural,Sex + age + rural,-0.12141743126546077,0.8856641785003457,0.4936198893356035,0.12141743126546077,0.10591197250651797,-0.015505458758942797,15% increase in |log(OR)|,FALSE
JPAES,Joint parental absence and socioeconomic status,School disengagement,sex_age_rural_clyr,Sex + age + rural + calendar year,-0.11942404230680709,0.8874314125020266,0.4959111382504627,0.11942404230680709,0.12141743126546077,0.001993388958653683,2% reduction in |log(OR)|,FALSE
JPAES,Joint parental absence and socioeconomic status,Violence exposure,sex_only,Sex only,0.6608530553201174,1.9364435234738953,1.8661557696825156e-6,0.6608530553201174,-,-,Starting model,TRUE
JPAES,Joint parental absence and socioeconomic status,Violence exposure,sex_age,Sex + age,0.7064937918588123,2.0268721497685585,5.46915910406157e-7,0.7064937918588123,0.6608530553201174,-0.04564073653869494,7% increase in |log(OR)|,TRUE
JPAES,Joint parental absence and socioeconomic status,Violence exposure,sex_age_rural,Sex + age + rural,0.7067300021613716,2.0273509744017337,5.396073475778186e-7,0.7067300021613716,0.7064937918588123,-2.362103025592699e-4,0% increase in |log(OR)|,TRUE
JPAES,Joint parental absence and socioeconomic status,Violence exposure,sex_age_rural_clyr,Sex + age + rural + calendar year,0.6423438617234439,1.9009311816564864,5.537754099736847e-6,0.6423438617234439,0.7067300021613716,0.06438614043792767,9% reduction in |log(OR)|,TRUE
UHSES,Univariate household socioeconomic status,Alcohol use,sex_only,Sex only,0.17485060904322072,1.1910682684925495,0.4047463848750911,0.17485060904322072,-,-,Starting model,FALSE
UHSES,Univariate household socioeconomic status,Alcohol use,sex_age,Sex + age,0.16661644230685974,1.1813010812851663,0.42771590515814856,0.16661644230685974,0.17485060904322072,0.008234166736360987,5% reduction in |log(OR)|,FALSE
UHSES,Univariate household socioeconomic status,Alcohol use,sex_age_rural,Sex + age + rural,0.16228844882771243,1.176199465751255,0.43994814916820296,0.16228844882771243,0.16661644230685974,0.004327993479147307,3% reduction in |log(OR)|,FALSE
UHSES,Univariate household socioeconomic status,Alcohol use,sex_age_rural_clyr,Sex + age + rural + calendar year,0.16250542485282254,1.1764547005249824,0.4421907839433179,0.16250542485282254,0.16228844882771243,-2.1697602511011604e-4,0% increase in |log(OR)|,FALSE
UHSES,Univariate household socioeconomic status,Ever had sexual intercourse,sex_only,Sex only,0.9338421665777829,2.5442659155748157,1.3173394624762317e-5,0.9338421665777829,-,-,Starting model,TRUE
UHSES,Univariate household socioeconomic status,Ever had sexual intercourse,sex_age,Sex + age,0.8953749654360379,2.448253627861822,5.091757885380053e-4,0.8953749654360379,0.9338421665777829,0.038467201141744956,4% reduction in |log(OR)|,TRUE
UHSES,Univariate household socioeconomic status,Ever had sexual intercourse,sex_age_rural,Sex + age + rural,0.8844002971410115,2.4215317564369236,5.750609526141389e-4,0.8844002971410115,0.8953749654360379,0.010974668295026357,1% reduction in |log(OR)|,TRUE
UHSES,Univariate household socioeconomic status,Ever had sexual intercourse,sex_age_rural_clyr,Sex + age + rural + calendar year,0.8834364778641388,2.4191989618273038,5.730146856748804e-4,0.8834364778641388,0.8844002971410115,9.638192768727238e-4,0% reduction in |log(OR)|,TRUE
UHSES,Univariate household socioeconomic status,Food insecurity,sex_only,Sex only,0.7587295791722922,2.1355614346762635,8.858796021222195e-5,0.7587295791722922,-,-,Starting model,TRUE
UHSES,Univariate household socioeconomic status,Food insecurity,sex_age,Sex + age,0.7542881579880293,2.126097539010582,1.1245175928488815e-4,0.7542881579880293,0.7587295791722922,0.004441421184262939,1% reduction in |log(OR)|,TRUE
